LeagueYear,league_id,weekNum,roster_id,lookupID,starter,starter_points,array_index,label
2025,1183984327853932544,1,1,118398432785393254411,1373,17.48,1,"Geno Smith, QB (LV)"
2025,1183984327853932544,1,1,118398432785393254411,8138,21.2,2,"James Cook, RB (BUF)"
2025,1183984327853932544,1,1,118398432785393254411,12529,11.1,3,"TreVeyon Henderson, RB (NE)"
2025,1183984327853932544,1,1,118398432785393254411,8112,13.5,4,"Drake London, WR (ATL)"
2025,1183984327853932544,1,1,118398432785393254411,8144,12.4,5,"Chris Olave, WR (NO)"
2025,1183984327853932544,1,1,118398432785393254411,4983,7.6,6,"DJ Moore, WR (CHI)"
2025,1183984327853932544,1,1,118398432785393254411,1339,11.6,7,"Zach Ertz, TE (WAS)"
2025,1183984327853932544,1,1,118398432785393254411,11624,0.0,8,"Xavier Worthy, WR (KC)"
2025,1183984327853932544,1,1,118398432785393254411,5947,17.7,9,"Jakobi Meyers, WR (LV)"
2025,1183984327853932544,1,1,118398432785393254411,12185,16.0,10,"Spencer Shrader, K (IND)"
2025,1183984327853932544,1,1,118398432785393254411,CLE,7.0,11,"Cleveland Browns, DEF (CLE)"
2025,1183984327853932544,2,1,118398432785393254421,1373,3.2,1,"Geno Smith, QB (LV)"
2025,1183984327853932544,2,1,118398432785393254421,8138,25.5,2,"James Cook, RB (BUF)"
2025,1183984327853932544,2,1,118398432785393254421,12529,6.0,3,"TreVeyon Henderson, RB (NE)"
2025,1183984327853932544,2,1,118398432785393254421,8112,4.9,4,"Drake London, WR (ATL)"
2025,1183984327853932544,2,1,118398432785393254421,8144,11.4,5,"Chris Olave, WR (NO)"
2025,1183984327853932544,2,1,118398432785393254421,4983,9.6,6,"DJ Moore, WR (CHI)"
2025,1183984327853932544,2,1,118398432785393254421,1339,18.4,7,"Zach Ertz, TE (WAS)"
2025,1183984327853932544,2,1,118398432785393254421,7611,21.2,8,"Rhamondre Stevenson, RB (NE)"
2025,1183984327853932544,2,1,118398432785393254421,5947,12.8,9,"Jakobi Meyers, WR (LV)"
2025,1183984327853932544,2,1,118398432785393254421,12185,18.0,10,"Spencer Shrader, K (IND)"
2025,1183984327853932544,2,1,118398432785393254421,CAR,5.0,11,"Carolina Panthers, DEF (CAR)"
2025,1183984327853932544,3,1,118398432785393254431,1373,26.06,1,"Geno Smith, QB (LV)"
2025,1183984327853932544,3,1,118398432785393254431,8138,20.8,2,"James Cook, RB (BUF)"
2025,1183984327853932544,3,1,118398432785393254431,4988,7.0,3,"Nick Chubb, RB (HOU)"
2025,1183984327853932544,3,1,118398432785393254431,8112,10.5,4,"Drake London, WR (ATL)"
