Year,LeagueID,LeagueName,RosterID,OwnerID,OwnerName,PlayerID
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,6744
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4319
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1433
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2505
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,DEN
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2747
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4035
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2020
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,3200
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,TEN
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4146
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,7554
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2152
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,5032
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1110
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1476
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4187
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1793
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1264
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,7090
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,147
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,536
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1992
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,5955
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4993
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4208
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2374
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,ATL
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,954
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1535
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,928
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4892
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,LV
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,956
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,IND
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,5995
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,3294
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,2320
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,4038
2021,652823294856224768,NCAA PAC 12,1,437465313911500800,kfitch630,1408
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,6806
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,KC
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,6819
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,4152
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,6149
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,6805
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,2476
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,2671
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,6136
2021,652823294856224768,NCAA PAC 12,2,709857172258881536,KamaraGOAT41,7600
